,hour,longitude,latitude,value
353,3,104.1519,30.8027,4
354,3,103.8404,30.6752,3
355,3,104.1121,30.6862,5
356,3,104.0975,30.6529,5
357,3,104.1686,30.8206,5
358,3,104.0698,30.591,9
359,3,104.0011,30.7125,5
360,3,103.6691,31.0053,8
361,3,104.072,30.5506,5
362,3,104.1972,30.7147,9
363,3,103.8211,30.6997,7
364,3,103.9466,30.5906,15
365,3,103.9288,30.5683,8
366,3,103.9403,30.5803,6
367,3,104.1038,30.6805,3
368,3,103.8903,30.8131,26
369,3,104.0335,30.6339,6
370,3,104.1602,30.6554,5
371,3,103.7745,30.6745,9
372,3,104.016,30.6558,5
373,3,103.9206,30.8645,4
374,3,104.0024,30.6812,3
375,3,104.2724,30.8894,4
376,3,104.1025,30.6086,8
377,3,104.1398,30.6184,5
378,3,104.1266,30.6904,4
379,3,104.1198,30.7642,4
380,3,103.8588,30.7053,8
381,3,104.0706,30.6347,3
382,3,103.6374,30.9988,5
383,3,103.9033,30.6891,4
384,3,104.0882,30.6324,3
385,3,103.6269,30.9915,4
386,3,103.8548,30.6926,3
387,3,104.0107,30.7201,5
388,4,103.9033,30.8188,19
389,4,104.1451,30.689,7
390,4,103.8376,30.6873,4
391,4,104.1177,30.6604,4
392,4,104.1323,30.6529,4
393,4,104.079,30.7014,6
394,4,104.2832,30.5603,16
395,4,103.9843,30.6848,4
396,4,104.0398,30.6103,5
397,4,103.8425,30.7078,7
398,4,104.0815,30.739,3
399,4,104.1521,30.6666,10
400,4,104.1466,30.6497,5
401,4,103.9395,30.5668,3
402,4,104.097,30.7078,3
403,4,104.0529,30.7668,5
404,4,104.0311,30.6863,9
405,4,104.0695,30.6522,7
406,4,104.27,30.8937,6
407,4,104.0993,30.556,5
408,4,104.1683,30.8197,5
409,4,103.9423,30.7802,5
410,4,104.0099,30.6113,5
411,4,104.0937,30.6444,11
412,4,104.0649,30.7005,8
413,4,104.2598,30.5488,5
414,4,103.993,30.5808,4
415,4,104.0317,30.6719,5
416,4,104.1315,30.4289,4
417,4,104.1039,30.6298,3
418,4,103.9926,30.7167,4
419,4,104.1221,30.6485,4
420,4,104.011,30.6413,3
421,4,104.1915,30.8165,4
422,4,104.0764,30.7535,4
423,4,103.6601,31.0089,4
424,4,104.0918,30.5365,3
425,4,103.6508,30.9933,8
426,4,103.9206,30.8644,8
427,4,104.2701,30.5711,4
428,4,104.2799,30.5857,7
429,4,104.0483,30.6335,7
430,4,104.1945,30.8048,4
431,4,103.8642,30.682,3
432,4,103.8312,30.6968,5
433,4,104.1405,30.6091,6
434,4,103.914,30.8093,4
435,4,103.9514,30.5925,4
436,4,103.952,30.9725,5
437,4,103.5522,30.6067,11
438,4,103.9245,30.5662,3
439,4,103.6363,30.9638,6
440,4,103.9707,30.6896,5
441,4,103.9958,30.6211,7
442,4,104.23,30.5665,3
443,4,103.6312,30.9853,8
444,4,104.01,30.665,5
445,4,104.0556,30.6148,6
446,4,104.1211,30.5944,7
447,4,104.1635,30.8324,5
448,4,104.0196,30.7136,4
449,4,103.9049,30.8014,4
450,4,104.0699,30.5528,11
451,4,103.6596,30.9859,8
452,4,104.0981,30.6596,12
453,4,103.8597,30.7049,4
454,4,103.9887,30.6687,11
455,5,104.1894,30.8158,5
456,5,104.0728,30.674,17
457,5,103.9049,30.7918,3
458,5,103.6386,30.9985,8
459,5,104.0622,30.5335,11
460,5,103.8354,30.6749,11
461,5,104.0821,30.5823,6
462,5,104.0729,30.5561,17
463,5,104.0941,30.6669,5
464,5,104.0666,30.618,4
465,5,103.6218,30.9863,3
466,5,103.942,30.5858,3
467,5,103.915,30.8091,4
468,5,104.0897,30.6474,10
469,5,104.1045,30.6602,7
470,5,104.0619,30.562,7
471,5,103.9536,30.7887,11
472,5,104.1868,30.8259,5
473,5,104.0793,30.7011,6
474,5,104.1074,30.6256,8
475,5,104.2837,30.5796,8
476,5,104.0812,30.6056,4
477,5,103.965,30.5847,17
478,5,103.8206,30.6845,14
479,5,104.0026,30.659,15
480,5,104.0522,30.6796,6
481,5,103.65,30.9604,3
482,5,104.0185,30.717,8
483,5,104.0378,30.6532,5
484,5,104.1258,30.6691,8
485,5,103.951,30.976,3
486,5,104.268,30.5812,4
487,5,103.9939,30.6814,5
488,5,103.8962,30.808,10
489,5,103.6306,31.006,3
490,5,103.9534,30.6907,3
491,5,104.0812,30.5663,6
492,5,103.9992,30.6104,5
493,5,104.1439,30.6879,7
494,5,104.0765,30.597,6
495,5,103.8303,30.71,5
496,5,104.0509,30.5066,3
497,5,104.0796,30.5476,12
498,5,104.153,30.8048,8
499,5,103.9901,30.8288,3
500,5,104.022,30.6983,3
501,5,103.9579,31.0224,12
502,5,103.936,30.5651,8
503,5,103.6656,30.976,6
504,5,103.8466,30.7,4
505,5,103.9909,30.7067,7
506,5,104.0337,30.6386,24
507,5,103.9936,30.6271,8
508,5,103.6648,31.0076,4
509,5,103.9769,30.7039,3
510,5,104.1818,30.7004,6
511,5,103.9875,30.5833,4
512,5,104.036,30.6746,3
513,5,103.7,30.6381,3
514,5,104.0893,30.6753,5
515,5,103.9656,30.6721,16
516,5,104.1023,30.6448,14
517,5,103.8324,30.6893,11
518,5,104.3334,30.6475,8
519,5,103.6631,30.9941,5
520,5,104.0786,30.7173,5
521,5,104.1964,30.8069,3
522,5,104.0221,30.6386,5
523,5,104.0416,30.7081,4
524,5,104.062,30.6997,5
525,5,103.6542,30.9881,6
526,5,103.8898,30.8245,4
527,5,103.8349,30.7236,4
528,5,104.07,30.6308,4
529,5,103.6538,31.0044,4
530,5,104.1956,30.5767,3
531,5,104.1492,30.6622,7
532,5,103.8456,30.7163,3
533,5,104.278,30.5692,7
534,5,104.0682,30.5138,3
535,5,104.4421,30.8535,5
536,5,104.284,30.8817,5
537,5,104.2949,30.576,8
538,5,104.0134,30.685,4
539,5,104.0245,30.6734,4
540,5,104.1176,30.636,7
541,5,104.0075,30.731,4
542,5,104.0268,30.655,3
543,5,103.9157,30.5774,5
544,5,103.86,30.6855,11
545,6,104.0822,30.6548,7
546,6,104.1838,30.8215,8
547,6,104.2652,30.8929,10
548,6,104.0726,30.5495,14
549,6,104.171,30.6065,4
550,6,104.111,30.6863,7
551,6,104.225,30.5469,3
552,6,103.6309,31.0057,7
553,6,104.0062,30.6808,9
554,6,103.877,30.7105,5
555,6,103.8912,30.7952,3
556,6,104.1373,30.6904,7
557,6,104.1435,30.6033,3
558,6,104.0619,30.5303,11
559,6,104.017,30.6582,3
560,6,104.0545,30.6848,7
561,6,104.1498,30.8035,5
562,6,103.963,30.6763,9
563,6,104.07,30.5723,3
564,6,104.2825,30.571,16
565,6,104.0616,30.7006,10
566,6,103.6536,30.9941,8
567,6,104.0757,30.5965,34
568,6,103.9399,30.5759,7
569,6,103.9517,30.6706,8
570,6,104.0931,30.6669,20
571,6,104.0551,30.6262,12
572,6,104.0553,30.5666,4
573,6,104.2728,30.5594,7
574,6,104.072,30.6444,13
575,6,104.1106,30.6752,9
576,6,104.0397,30.6102,4
577,6,104.0756,30.6636,4
578,6,104.1144,30.6284,4
579,6,104.1633,30.8415,4
580,6,103.9536,30.7887,8
581,6,103.6509,30.9759,3
582,6,103.907,30.813,11
583,6,104.0515,30.6975,9
584,6,104.0956,30.7059,4
585,6,103.8342,30.6992,3
586,6,103.9372,30.7611,5
587,6,104.1922,30.8121,3
588,6,104.0934,30.5434,5
589,6,103.915,30.8072,5
590,6,104.2424,30.5789,7
591,6,104.0524,30.7648,4
592,6,103.6619,31.0,8
593,6,104.0384,30.6743,8
594,6,103.9907,30.7065,3
595,6,104.1091,30.6448,4
596,6,104.0863,30.6444,5
597,6,104.05,30.5586,6
598,6,104.1288,30.7713,5
599,6,104.0712,30.6726,9
600,6,103.9179,30.5732,5
601,6,104.261,30.5735,4
602,6,104.0939,30.7953,9
603,6,103.8081,30.7004,7
604,6,103.8456,30.6969,3
605,6,103.8966,30.6628,5
606,6,104.1263,30.6857,7
607,6,103.9828,30.6863,10
608,6,103.6596,31.0121,4
609,6,104.1786,30.6892,5
610,6,104.0641,30.7282,3
611,6,104.0912,30.6846,4
612,6,104.0549,30.6709,4
613,6,103.9052,30.5802,7
614,6,103.9408,30.7279,5
615,6,104.0988,30.8211,5
616,6,104.1737,30.8047,4
617,6,103.6196,30.978,11
618,6,104.0275,30.7708,11
619,6,104.0376,30.6318,10
620,6,104.0307,30.6827,10
621,6,104.2834,30.5807,3
622,6,104.0434,30.5278,3
623,6,103.77,30.3654,3
624,6,103.6335,30.9861,9
625,6,104.1397,30.7189,5
626,6,104.1333,30.6119,7
627,6,103.6613,31.0214,13
628,6,104.1948,30.7319,5
629,6,103.981,30.7564,6
630,6,104.0127,30.6372,5
631,6,104.2537,30.8804,5
632,6,103.8426,30.6876,11
633,6,104.0812,30.5663,20
634,6,103.8354,30.6753,3
635,6,104.0415,30.645,15
636,6,104.125,30.6657,9
637,6,104.0437,30.6845,18
638,6,104.0517,30.6418,14
639,6,103.6491,31.0178,9
640,6,104.0413,30.5189,3
641,6,103.9049,30.7918,8
642,6,104.0997,30.6511,6
643,6,104.124,30.6214,3
644,6,103.8757,30.6887,4
645,6,104.0757,30.627,9
646,6,104.2625,30.5575,5
647,6,104.0785,30.5573,13
648,6,104.1083,30.6054,5
649,6,104.0089,30.6675,6
650,6,104.2526,30.8956,7
651,6,104.2738,30.8852,7
652,6,104.0543,30.755,3
653,6,103.9919,30.5831,6
654,6,104.3013,30.5766,5
655,6,104.0901,30.6175,3
656,6,104.0975,30.6271,11
657,6,104.054,30.6619,8
658,6,103.6522,31.0054,3
659,6,104.1481,30.6817,4
660,6,103.994,30.5565,3
661,6,104.0411,30.7129,5
662,6,103.9959,30.6716,11
663,6,103.9775,30.6291,3
664,6,103.8228,30.6853,3
665,6,103.9761,30.6763,7
666,6,103.8854,30.8143,4
667,6,104.1682,30.5917,4
668,6,103.9623,30.5762,5
669,6,104.0241,30.6918,6
670,6,104.0609,30.5556,3
671,6,103.8477,30.7069,7
672,6,103.6721,31.0067,4
673,6,104.0842,30.6739,11
674,6,103.8541,30.6809,5
675,6,104.1358,30.4363,4
676,6,104.1445,30.6504,6
677,6,103.6428,30.9983,3
678,6,104.1919,30.6593,7
679,6,103.6709,30.6192,4
680,6,103.8554,30.6928,11
681,6,104.0181,30.703,12
682,6,104.4236,30.8547,5
683,6,104.0315,30.6564,15
684,6,104.1622,30.8003,5
685,6,104.1211,30.6753,6
686,6,104.112,30.7069,17
687,7,103.9764,30.5998,3
688,7,103.9639,30.6756,6
689,7,104.0188,30.6488,6
690,7,104.2715,30.5738,10
691,7,103.9808,30.731,7
692,7,104.2415,30.5792,26
693,7,103.8466,30.7102,5
694,7,103.895,30.8074,31
695,7,103.85,30.6949,31
696,7,104.0484,30.6485,7
697,7,104.0469,30.5525,5
698,7,104.1562,30.678,4
699,7,103.6456,30.959,7
700,7,104.2902,30.5822,3
701,7,104.171,30.6065,4
702,7,104.0323,30.7356,4
703,7,103.9056,30.7982,11
704,7,104.0007,30.5588,5
705,7,104.0724,30.6193,14
706,7,104.3124,30.604,5
707,7,104.1703,30.7022,5
708,7,104.1082,30.6633,4
709,7,104.1081,30.6425,3
710,7,103.8807,30.7022,9
711,7,104.0572,30.5346,4
712,7,104.174,30.8302,16
713,7,104.0209,30.7181,3
714,7,103.9117,30.5731,9
715,7,104.0748,30.658,5
716,7,104.0825,30.6355,7
717,7,104.2595,30.553,10
718,7,103.9238,30.564,5
719,7,104.2653,30.5643,17
720,7,104.2723,30.5528,5
721,7,103.9967,30.5793,5
722,7,104.1428,30.6869,4
723,7,104.0969,30.6982,6
724,7,104.0449,30.6818,5
725,7,104.2588,30.5779,6
726,7,103.6433,30.9921,6
727,7,104.051,30.5177,4
728,7,103.6184,30.9759,3
