1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,5.使用者的出发地位置信息(订单里面设定的出发地) ,6.结果对象信息 ,7.订单发起时间 ,8.订单结束时间 
6901152,"123.410743,41.766445","123.41166966017,41.766470937211","123.40090940039,41.78151810042","文化路|东北大学(西门),123.41204,41.76636","和平区|百时教育和平分校,123.40095,41.78143",2018/8/8 12:11,2018/8/8 12:28
6903280,"123.373135,41.803738","123.37412603391,41.803345405687","123.37574395852,41.81030910454","北三中路|鑫丰御景华庭,123.37416,41.80336","铁西区|星摩尔沈阳购物广场(4号门),123.375543,41.809441",2018/8/8 12:06,2018/8/8 12:17
6908071,"123.432342,41.922137","123.43215060764,41.922531738281","123.40329264323,41.919901529948","雅居街|惠民超市,123.43214,41.9225","航空航天大学-地铁站,123.403161,41.9176",2018/8/8 5:41,2018/8/8 5:50
6936842,"123.407901,41.774787","123.40818285341,41.77523956355","123.42880134157,41.756434607654","新兴幼儿园-西南门,123.4083,41.77518","五里河|丽景花园,123.43199,41.75565",2018/8/8 16:45,2018/8/8 17:16
7024598,"123.354855,41.860021","123.35441301099,41.859307770729","123.36426215588,41.857405235812","湖畔新城西区-东北门,123.35442,41.8595","白山路|华润橡树湾2期,123.36094,41.85829",2018/8/8 18:28,2018/8/8 18:34
7225126,"123.488812,41.804357","123.48886667001,41.804433063557","123.55921734989,41.776608201391","东塔|新越广告,123.48902,41.80431","浑南区|格林阳光城,123.557388,41.777574",2018/8/8 0:40,2018/8/8 0:57
7373783,"123.349093,41.776557","123.34886316726,41.77658638387","123.33235383587,41.747859508764","艳粉|金时代超市,123.34906,41.77651","于洪区|恒大绿洲三期-西门,123.33247,41.74794",2018/8/8 18:25,2018/8/8 18:48
7489657,"123.507345,41.905648","123.50726413677,41.905651252915","123.59467382748,41.922579984552","胖哥超市东南侧,123.50739,41.90563","沈北新区|辽宁海宇钢构彩板工程有限公司,123.593941,41.922516",2018/8/8 8:18,2018/8/8 8:41
7493299,"123.431035,41.815119","123.43146717553,41.815276121899","123.42963790435,41.823602472821","沈阳北站|银河国际大厦C座,123.43123,41.81518","皇姑区|乐天百货(岐山东路),123.431462,41.822971",2018/8/8 18:39,2018/8/8 18:49
7524097,"123.417318,41.869606","123.41759440104,41.869548068576","123.43848280165,41.888136121962","黄河北大街|金轮海岸大酒店,123.4172,41.8695","皇姑区|松陵铸造厂,123.4386,41.88821",2018/8/8 21:25,2018/8/8 21:44
7618499,"123.278498,41.801735","123.27915934245,41.802784288194","123.3095703125,41.795265299479","洪汇路|和泰馨城七区二期-北门,123.27938,41.80277","东湖|三和大厦,123.30994,41.79526",2018/8/8 8:03,2018/8/8 8:28
7624282,"123.392825,41.752505","123.39378553602,41.752168240017","123.39619791667,41.729691297743","长白|万科中心大厦-东北门对面,123.39304,41.75273","长白|万科·鹿特丹-西门,123.39804,41.72977",2018/8/8 11:52,2018/8/8 12:02
7750545,"123.327431,41.750368","123.32818223741,41.750063205295","123.36047254774,41.773581542969","细河路|宏发英里·蓝湾,123.327177,41.751423","铁西区|中国医科大学附属盛京医院滑翔院区-西北门,123.35978,41.77301",2018/8/8 16:28,2018/8/8 16:44
7765974,"123.415453,41.785176","123.50338406033,41.838823242188","123.4483211263,41.796564941406","二台子|林韵春天-南门人行门,123.50326,41.83905","大西|文峰大厦(东门),123.448224,41.796575",2018/8/8 10:40,2018/8/8 11:17
7959950,"123.456333,41.803384","123.45609101946,41.803334443643","123.42645520776,41.878505707009","北中街皇城恒隆广场-公交站,123.45607,41.80325","三台子|桃山苑,123.42655,41.878",2018/8/8 21:50,2018/8/8 22:27
7986305,"123.354201,41.754952","123.35423416981,41.754937430604","123.37257152318,41.815921963442","城东湖|阳光100芒果城三期-西门,123.35425,41.75492","铁西区|沈阳国际纺织服装城(北三门),123.37581,41.8152",2018/8/8 11:17,2018/8/8 11:46
7995974,"123.421127,41.829114","123.42050732627,41.829412660616","123.4266023976,41.785186764196","金钻铭邸-南门,123.42152,41.82926","和平区|法国驻沈阳总领事馆,123.4269,41.78462",2018/8/8 7:53,2018/8/8 8:21
8026388,"123.397401,41.848321","123.39838123582,41.847860083682","123.3695679232,41.822383721271","爆烤鸡头王(怒江北街店),123.39828,41.84799","明廉|新汉城,123.36918,41.82291",2018/8/8 23:36,2018/8/8 23:54
8042260,"123.452903,41.770502","123.4561859809,41.77020968967","123.41365668403,41.790936143663","文化路|沈阳国际品牌总部大厦A座,123.45648,41.76986","马路湾|光大大厦,123.41336,41.79081",2018/8/8 15:43,2018/8/8 16:13
8094935,"123.479987,41.76137","123.48099278397,41.763382313234","123.5039606966,41.781190825229","文萃路|航萃园-北门,123.48095,41.7634","方家栏|中房凌云花园-南二门,123.50038,41.77618",2018/8/8 10:07,2018/8/8 10:23
8194698,"123.398351,41.848559","123.39842969827,41.848508788252","123.39322420125,41.909702351789","怒江北街|好利来(怒江店),123.39838,41.84856","道义|华海蓝境,123.39325,41.90964",2018/8/8 13:36,2018/8/8 14:01
8451062,"123.376858,41.791854","123.37591861096,41.790642618557","123.36253234327,41.774689227164","云峰|东环国际大厦停车场(入口),123.376771,41.79184","中国医科大学附属盛京医院滑翔院区,123.361926,41.773252",2018/8/8 7:34,2018/8/8 7:45
8652986,"123.387021,41.817026","123.39154432509,41.818616807726","123.42981146918,41.832345648872","同江街|鑫丰华凯鑫城-东门,123.39172,41.81858","崇山|辽宁中医药大学附属医院,123.43054,41.831403",2018/8/8 8:13,2018/8/8 8:42
8791578,"123.482612,41.720906","123.48238241719,41.720362616907","123.4722110873,41.708261339456","新源街|中国科学院沈阳科学仪器股份有限公司,123.48238,41.72041","东陵区|白塔河路-D口,123.472009,41.708561",2018/8/8 13:03,2018/8/8 13:15
9004713,"123.488367,41.74948","123.48723504608,41.749355120172","123.41011843135,41.792630043796","朗日街|万科·金域蓝湾-西一门,123.48724,41.74945","和平区|沈阳市第二十中学(南校区),123.40999,41.79196",2018/8/8 15:08,2018/8/8 15:37
9141677,"123.241905,41.730841","123.24278076172,41.730749782986","123.27276774089,41.75502983941","沈辽路|利民超市,123.24259,41.73077","铁西区|沈辽路与四号街交叉口,123.27228,41.75549",2018/8/8 7:02,2018/8/8 7:13
9209352,"123.409326,41.774185","123.40941745294,41.7739185661","123.39854843106,41.78876544027","新兴|明圣堂健康养生(振兴街),123.4095,41.77407","胜利|万达广场(太原街店),123.39966,41.79227",2018/8/8 13:49,2018/8/8 13:59
9214063,"123.34815,41.75667","123.34823540453,41.758309297989","123.32482471395,41.751547220297","城东湖|利民超市西南侧,123.34813,41.75812","于洪区|新加坡花园物业服务中心,123.325415,41.75063",2018/8/8 13:46,2018/8/8 14:00
9234754,"123.528089,41.748878","123.52819281684,41.748993869358","123.45786621094,41.727417263455","文溯街|泰荣湾-东门西北侧,123.52831,41.74897","奥体中心-地铁站,123.453579,41.743061",2018/8/8 12:39,2018/8/8 12:54
9334977,"123.471391,41.803141","123.47154392925,41.803216803593","123.38195697869,41.810338591575","东中街-A出口,123.4715,41.80327","铁西区|雍景豪城(景星花园东),123.38192,41.81032",2018/8/8 21:37,2018/8/8 22:11
9509215,"123.471482,41.811691","123.47105776379,41.811544365273","123.43114090917,41.815049266674","津桥|兴隆大家庭生活超市(城卉店),123.47107,41.81178","沈阳北站|银河国际大厦,123.430082,41.814703",2018/8/8 20:48,2018/8/8 21:10
